Facility Name,"1/1/2020
 Adult Dogs
 In Shelter","1/1/2020
 Adult Dogs
 In Foster Care","2020
 Adult Dogs
 Stray","2020
 Adult Dogs
 Owner Relinquished","2020
 Adult Dogs Transfer from another Colorado Organization","2020
 Adult Dogs
 Transfer from Out of State","2020
 Adult Dogs
 Other Intake","2020
 Adult Dogs
 Adoption","2020
 Adult Dogs
 Returned to Owner (RTO)","2020
 Adult Dogs
 Transfer to another Colorado Organization","2020
 Adult Dogs
 Transfer to Out of State","2020
 Adult Dogs
 Other Transfer","1/1/2020
 Juvenile Dogs
 In Shelter","1/1/2020
 Juvenile Dogs
 In Foster Care","2020
 Juvenile Dogs
 Stray","2020
 Juvenile Dogs
 Owner Relinquished","2020
 Juvenile Dogs
 Transfer from another Colorado Organization","2020
 Juvenile Dogs
 Transfer from Out of State","2020
 Juvenile Dogs
 Other Intake","2020
 Juvenile Dogs
 Adoption","2020
 Juvenile Dogs
 Returned to Owner (RTO)","2020
 Juvenile Dogs
 Transfer to another Colorado Organization","2020
 Juvenile Dogs
 Transfer to Out of State","2020
 Juvenile Dogs
 Other Transfer","1/1/2020
 Adult Cats
 In Shelter","1/1/2020
 Adult Cats
 In Foster Care","2020
 Adult Cats
 Stray","2020
 Adult Cats
 Owner Relinquished","2020
 Adult Cats
 Transfer from another Colorado Organization","2020
 Adult Cats
 Transfer from Out of State","2020
 Adult Cats
 Other Intake","2020
 Adult Cats
 Adoption","2020
 Adult Cats
 Returned to Owner (RTO)","2020
 Adult Cats
 Transfer to another Colorado Organization","2020
 Adult Cats
 Transfer to Out of State","2020
 Adult Cats
 Other Transfer","1/1/2020
 Juvenile Cats
 In Shelter","1/1/2020
 Juvenile Cats
 In Foster Care","2020
 Juvenile Cats
 Stray","2020
 Juvenile Cats
 Owner Relinquished","2020
 Juvenile Cats
 Transfer from another Colorado Organization","2020
 Juvenile Cats
 Transfer from Out of State","2020
 Juvenile Cats
 Other Intake","2020
 Juvenile Cats
 Adoption","2020
 Juvenile Cats
 Returned to Owner (RTO)","2020
 Juvenile Cats
 Transfer to another Colorado Organization","2020
 Juvenile Cats
 Transfer to Out of State","2020
 Juvenile Cats
 Other Transfer",
"2 Blondes All Breed Rescue, Inc.",78.00,47.00,0.00,0.00,0.00,379.00,40.00,498.00,0.00,0.00,1.00,0.00,0.00,56.00,0.00,0.00,0.00,1179.00,0.00,1157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"2nd Chance Vizsla Rescue, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
4 Paws 4 Life Rescue,5.00,0.00,0.00,11.00,0.00,454.00,0.00,459.00,0.00,0.00,6.00,0.00,18.00,0.00,0.00,9.00,0.00,859.00,19.00,882.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,46.00,0.00,45.00,0.00,0.00,0.00,0.00,4.00,0.00,7.00,4.00,0.00,157.00,12.00,174.00,0.00,0.00,0.00,0.00,
9 Lives Rescue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,17.00,4.00,6.00,0.00,7.00,47.00,1.00,0.00,0.00,3.00,0.00,0.00,12.00,8.00,0.00,0.00,8.00,11.00,0.00,0.00,0.00,0.00,
A Friend of Jack Rescue,0.00,0.00,0.00,1.00,0.00,181.00,0.00,175.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.00,32.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Acadiana Animal Aid,38.00,0.00,66.00,67.00,409.00,0.00,3.00,249.00,7.00,274.00,0.00,0.00,25.00,10.00,33.00,44.00,670.00,0.00,17.00,362.00,0.00,387.00,0.00,0.00,20.00,0.00,10.00,65.00,147.00,0.00,1.00,170.00,3.00,42.00,0.00,6.00,40.00,4.00,56.00,85.00,280.00,0.00,0.00,357.00,1.00,57.00,0.00,0.00,
Adoptable Animal Rescue Force,8.00,0.00,0.00,12.00,38.00,43.00,1.00,91.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,42.00,1.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Airedale Terrier Rescue & Adoption,0.00,4.00,0.00,9.00,1.00,3.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
All Aboard Animal Rescue,0.00,9.00,0.00,0.00,4.00,216.00,0.00,223.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,441.00,0.00,436.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
All Breed Rescue & Training,0.00,22.00,0.00,16.00,57.00,0.00,8.00,72.00,2.00,0.00,0.00,0.00,0.00,7.00,0.00,1.00,20.00,0.00,1.00,24.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
