Facility Name,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Dogs-Adult,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Dogs-Juvenile,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Cats-Adult,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Cats-Juvenile,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Birds,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Dogs-Adult,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Dogs-Juvenile,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Cats-Adult,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Cats-Juvenile,Animal Intake Statistics - Stray - Dogs-Adult,Animal Intake Statistics - Stray - Dogs-Juvenile,Animal Intake Statistics - Stray - Cats-Adult,Animal Intake Statistics - Stray - Cats-Juvenile,Animal Intake Statistics - Owner Relinquished - Dogs-Adult,Animal Intake Statistics - Owner Relinquished - Dogs-Juvenile,Animal Intake Statistics - Owner Relinquished - Cats-Adult,Animal Intake Statistics - Owner Relinquished - Cats-Juvenile,Animal Intake Statistics - Transfer In from a Colorado Organization - Dogs-Adult,Animal Intake Statistics - Transfer In from a Colorado Organization - Dogs-Juvenile,Animal Intake Statistics - Transfer In from a Colorado Organization - Cats-Adult,Animal Intake Statistics - Transfer In from a Colorado Organization - Cats-Juvenile,Animal Intake Statistics - Transfer In from an Out of State Organization - Dogs-Adult,Animal Intake Statistics - Transfer In from an Out of State Organization - Dogs-Juvenile,Animal Intake Statistics - Transfer In from an Out of State Organization - Cats-Adult,Animal Intake Statistics - Transfer In from an Out of State Organization - Cats-Juvenile,"Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Dogs-Adult","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Dogs-Juvenile","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Cats-Adult","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Cats-Juvenile",Animal Outcome Statistics - Adoption - Dogs-Adult,Animal Outcome Statistics - Adoption - Dogs-Juvenile,Animal Outcome Statistics - Adoption - Cats-Adult,Animal Outcome Statistics - Adoption - Cats-Juvenile,Animal Outcome Statistics - Return to Owner - Dogs-Adult,Animal Outcome Statistics - Return to Owner - Dogs-Juvenile,Animal Outcome Statistics - Return to Owner - Cats-Adult,Animal Outcome Statistics - Return to Owner - Cats-Juvenile,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Dogs-Adult,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Dogs-Juvenile,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Cats-Adult,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Cats-Juvenile,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Dogs-Adult,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Dogs-Juvenile,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Cats-Adult,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Cats-Juvenile,Animal Outcome Statistics - Other Live Outcomes - Dogs-Adult,Animal Outcome Statistics - Other Live Outcomes - Dogs-Juvenile,Animal Outcome Statistics - Other Live Outcomes - Cats-Adult,Animal Outcome Statistics - Other Live Outcomes - Cats-Juvenile,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Dogs-Adult,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Dogs-Juvenile,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Cats-Adult,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Cats-Juvenile,
2 Blondes All Breed Rescue,59,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,1228,0,0,54,81,0,0,448,1262,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,78,0,0,0,
"2nd Chance Vizsla Rescue, Inc.",0,0,0,0,0,8,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
4 Paws 4 Life Rescue,26,16,6,3,0,0,0,0,0,0,0,0,0,23,7,3,4,4,0,0,0,274,498,28,38,0,0,0,0,311,491,32,41,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,5,18,5,4,
9 Lives Rescue,0,0,0,0,0,0,0,35,0,0,0,4,1,0,0,12,0,0,0,11,9,0,0,13,39,0,0,7,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
Acadiana Animal Aid,17,44,76,9,0,32,41,4,11,89,71,31,119,68,55,54,12,0,0,0,0,466,1037,245,325,9,32,10,4,207,276,146,228,10,1,0,0,101,324,74,20,374,560,160,156,0,0,0,0,17,26,32,37,
Adams County Animal Shelter & Adoption Center,56,1,60,9,0,12,16,7,9,2518,77,1003,571,857,54,381,73,52,4,3,3,0,0,0,0,282,29,77,65,1606,122,978,508,1761,28,141,12,134,7,29,23,8,0,0,0,4,0,3,2,60,4,86,6,
Adoptable Animal Rescue Force,8,2,0,0,0,0,0,0,0,2,0,0,0,14,1,0,0,28,23,0,0,35,24,0,0,0,0,0,0,74,50,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,
Airedale Terrier Rescue and Adoption,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
All Aboard Animal Rescue ,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,475,0,0,0,0,0,0,301,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
All Breed Rescue & Training,0,0,0,0,0,25,10,0,0,0,0,0,0,20,0,0,0,26,22,0,0,2,0,0,0,9,0,0,0,49,24,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
All Paws Matter ,0,0,0,0,0,7,8,0,0,0,0,0,0,2,0,0,0,13,0,0,0,106,266,0,0,20,0,0,0,96,249,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
All Points West German Shorthaired Pointer (GSP) Rescue,0,0,0,0,0,15,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,41,17,0,0,0,0,0,0,66,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Almost Home Adoptions,0,0,68,0,0,0,0,0,0,0,0,194,399,0,0,43,12,0,0,0,0,0,0,0,0,0,0,26,0,0,0,190,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,78,7,
American Bullmastiff Assoc. Rescue Inc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Angels with Paws,0,0,6,9,0,0,0,8,0,0,0,25,34,0,0,31,25,0,0,7,0,0,0,106,58,0,0,0,0,0,0,142,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,
